Empresa;Código;Índices dos quais participa;
GERDAU MET;PN   N1;GOAU4;IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL
GETNINJAS;ON   NM;NINJ3;IGCX,IGNM,ITAG
GOLDMANSACHS;DRN;GSGI34;BDRX
GPS;ON   NM;GGPS3;IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,SMLL
GRAZZIOTIN;ON;CGRA3;ITAG
GRAZZIOTIN;PN;CGRA4;ITAG
GRENDENE;ON   NM;GRND3;IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
GRUPO MATEUS;ON   NM;GMAT3;AGFS,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
GRUPO NATURA;ON   NM;NTCO3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX
GRUPO SBF;ON   NM;SBFG3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
GUARARAPES;ON   NM;GUAR3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
HAPVIDA;ON   NM;HAPV3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX
HBR REALTY;ON   NM;HBRE3;IGCX,IGNM,ITAG
HELBOR;ON   NM;HBOR3;IGCX,IGNM,ITAG
HIDROVIAS;ON   NM;HBSA3;AGFS,GPTW,IBRA,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL
HOME DEPOT;DRN;HOME34;BDRX
HP COMPANY;DRN;HPQB34;BDRX
HSBC HOLDING;DRN;H1SB34;BDRX
HYPERA;ON   NM;HYPE3;GPTW,IBBR,IBEP,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX
IGUATEMI S.A;UNT  N1;IGTI11;IBBR,IBEP,IBHB,IBLV,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IMOB,ISEE,ITAG,IVBX,SMLL
IMC S/A;ON   NM;MEAL3;IGCX,IGNM,ITAG
INEPAR;ON;INEP3;ITAG
INEPAR;PN;INEP4;ITAG
INTEL;DRN;ITLC34;BDRX
INTELBRAS;ON   NM;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
INTER CO;DR2;INBR32;IBBR
IOCHP-MAXION;ON   NM;MYPK3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL
IRANI;ON   NM;RANI3;AGFS,GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL
IRBBRASIL RE;ON   NM;IRBR3;IBBR,IBEP,IBHB,IBOV,IBRA,IBXX,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL
ISA ENERGIA;ON   N1;ISAE3;IGCX
ISA ENERGIA;PN   N1;ISAE4;IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL
ITAUSA;ON   N1;ITSA3;IGCX
ITAUSA;PN   N1;ITSA4;GPTW,IBBR,IBEP,IBLV,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,ISEE,ITAG,MLCX
ITAUUNIBANCO;ON   N1;ITUB3;IBRA,IDVR,IFNC,IGCT,IGCX,MLCX
ITAUUNIBANCO;PN   N1;ITUB4;GPTW,IBBR,IBEP,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX
JALLESMACHAD;ON   NM;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL
JBS;ON   NM;JBSS3;AGFS,IBBR,IBEP,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX
JD COM;DRN;JDCO34;BDRX
JHSF PART;ON   NM;JHSF3;GPTW,IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL
JOHNSON;DRN;JNJB34;BDRX
JPMORGAN;DRN;JPMC34;BDRX
JSL;ON   NM;JSLG3;AGFS,IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL
KEPLER WEBER;ON   NM;KEPL3;AGFS,GPTW,IBRA,IDIV,IDVR,IGCT,IGCX,IGNM,INDX,ITAG,SMLL
KINGSOFT CHL;DRN;K2CG34;BDRX
KLABIN S/A;UNT  N2;KLBN11;AGFS,IBBR,IBEP,IBLV,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IDVR,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX
KRAFT HEINZ;DRN;KHCB34;BDRX
LAVVI;ON   NM;LAVV3;IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL
LILLY;DRN;LILY34;BDRX
LLOYDS BANKI;DRN;L1YG34;BDRX
LOCALIZA;ON   NM;RENT3;GPTW,IBBR,IBEP,IBHB,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,MLCX
